Company Name,Industry,Country,GenAI Tool,Adoption Year,Number of Employees Impacted,New Roles Created,Training Hours Provided,Productivity Change (%),Employee Sentiment
"Walters, Romero and Martin Pvt. Ltd.",Telecom,Singapore,Claude,2024,13098,26,20425,30.4,New roles are exciting; transition was smoother than expected. Monthly town halls discuss the AI rollout.
Cox-Shaw Pvt. Ltd.,Hospitality,USA,Claude,2024,12705,21,9607,13.4,New roles are exciting; transition was smoother than expected. HR hosted webinars weekly.
"Yates, Jones and Johnson Pvt. Ltd.",Retail,Brazil,Mixtral,2023,17309,11,24970,14.6,I love using AI—it makes my job easier and more fun. Some departments feel left behind.
Morris-Fuentes Pvt. Ltd.,Education,USA,Claude,2022,18840,20,12297,34.0,"We now finish tasks faster, but some older employees are struggling. Clients now expect faster results due to AI use."
Parks-Rich Pvt. Ltd.,Technology,USA,Gemini,2023,294,20,4149,3.1,"AI helped me reduce repetitive tasks, but learning curve was steep. Job rotations have increased."
Powell-Griffin Pvt. Ltd.,Utilities,South Korea,LLaMA,2023,18148,23,23207,2.4,"Job roles have shifted a lot, which is both good and scary. Monthly town halls discuss the AI rollout."
"Ross, Castro and Jones Pvt. Ltd.",Retail,Canada,Gemini,2024,16014,19,11264,24.7,"Mixed responses—management excited, staff feel uncertain. It changed how we communicate internally."
"Daugherty, Carter and Reese Pvt. Ltd.",Transportation,Singapore,Gemini,2024,14522,25,11125,4.3,"Productivity increased, but there's anxiety about job security. HR hosted webinars weekly."
"Burns, Lam and Sanchez Pvt. Ltd.",Technology,South Korea,Claude,2024,2119,2,795,12.8,New roles are exciting; transition was smoother than expected. HR hosted webinars weekly.
Gilbert-Johnson Pvt. Ltd.,Retail,France,LLaMA,2024,814,30,3177,33.4,"Job roles have shifted a lot, which is both good and scary. Some departments feel left behind."
"Weaver, Lewis and Perry Pvt. Ltd.",Education,USA,Claude,2022,17896,27,9974,16.0,New roles are exciting; transition was smoother than expected. Managers were initially skeptical.
"Turner, Bradshaw and Williams Pvt. Ltd.",Advertising,Canada,Groq,2022,649,8,11490,7.3,New roles are exciting; transition was smoother than expected. Managers were initially skeptical.
Curtis-Donaldson Pvt. Ltd.,Advertising,South Korea,ChatGPT,2022,867,12,23846,13.6,"We now finish tasks faster, but some older employees are struggling. Overall, it's a big shift."
"Benton, Boyd and Brown Pvt. Ltd.",Entertainment,South Africa,Gemini,2024,19041,17,14602,28.9,New roles are exciting; transition was smoother than expected. Monthly town halls discuss the AI rollout.
"Leonard, Fleming and Welch Pvt. Ltd.",Education,France,Mixtral,2024,13814,13,22764,2.4,"Mixed responses—management excited, staff feel uncertain. Clients now expect faster results due to AI use."
Woods-Turner Pvt. Ltd.,Advertising,Australia,LLaMA,2022,2322,30,6039,23.6,Our workflows have improved drastically with generative AI. Monthly town halls discuss the AI rollout.
"Morales, Shannon and Munoz Pvt. Ltd.",Telecom,USA,LLaMA,2024,4462,29,8286,15.9,I love using AI—it makes my job easier and more fun. My team adapted faster than others.
Clayton-Hansen Pvt. Ltd.,Finance,UAE,Gemini,2023,6916,3,12987,35.0,"We now finish tasks faster, but some older employees are struggling. HR hosted webinars weekly."
Pratt-Smith Pvt. Ltd.,Advertising,Germany,LLaMA,2022,3767,15,22551,14.5,New roles are exciting; transition was smoother than expected. Clients now expect faster results due to AI use.
"Hunter, Gray and Ramos Pvt. Ltd.",Legal Services,Brazil,LLaMA,2022,9396,4,3519,23.8,"Mixed responses—management excited, staff feel uncertain. Monthly town halls discuss the AI rollout."
"Johnson, Ross and Barnes Pvt. Ltd.",Education,France,LLaMA,2023,17931,7,19018,19.9,Our workflows have improved drastically with generative AI. Internal newsletters now highlight AI use cases.
Johnson-Quinn Pvt. Ltd.,Defense,Singapore,Gemini,2023,2833,15,2931,25.2,"We now finish tasks faster, but some older employees are struggling. My team adapted faster than others."
"Perez, Hancock and Wade Pvt. Ltd.",Finance,Japan,Claude,2022,10693,16,15033,19.2,"Job roles have shifted a lot, which is both good and scary. Clients now expect faster results due to AI use."
"Butler, Shah and Franco Pvt. Ltd.",Retail,USA,LLaMA,2023,17099,29,14922,25.9,I love using AI—it makes my job easier and more fun. Monthly town halls discuss the AI rollout.
Boyd-Mcdonald Pvt. Ltd.,Advertising,UK,LLaMA,2022,17099,28,12234,14.4,There's concern that AI will replace some of us soon. Internal newsletters now highlight AI use cases.
Henson PLC Pvt. Ltd.,Transportation,Brazil,LLaMA,2024,7969,5,15006,30.5,Our workflows have improved drastically with generative AI. My team adapted faster than others.
"Thornton, Williams and Hanson Pvt. Ltd.",Entertainment,South Korea,LLaMA,2023,18482,12,23734,30.9,New roles are exciting; transition was smoother than expected. Monthly town halls discuss the AI rollout.
"Ramirez, Leonard and King Pvt. Ltd.",Telecom,UK,Mixtral,2023,5347,10,2840,9.8,"Job roles have shifted a lot, which is both good and scary. Clients now expect faster results due to AI use."
"Scott, Silva and Curtis Pvt. Ltd.",Advertising,Canada,ChatGPT,2024,16915,30,21489,17.2,There's concern that AI will replace some of us soon. Monthly town halls discuss the AI rollout.
"Jimenez, Williams and Gonzalez Pvt. Ltd.",Legal Services,South Korea,Mixtral,2022,2405,15,9208,21.1,Our workflows have improved drastically with generative AI. HR hosted webinars weekly.
Massey-Smith Pvt. Ltd.,Finance,France,Groq,2023,3277,4,22849,4.7,Our workflows have improved drastically with generative AI. Some departments feel left behind.
"Rogers, Dudley and Richards Pvt. Ltd.",Finance,Singapore,ChatGPT,2023,19343,16,1476,29.8,"Productivity increased, but there's anxiety about job security. HR hosted webinars weekly."
"Flores, Bryant and Smith Pvt. Ltd.",Legal Services,Brazil,Groq,2024,17566,6,4191,7.3,I love using AI—it makes my job easier and more fun. Some departments feel left behind.
"Sellers, Maldonado and Brown Pvt. Ltd.",Finance,France,Gemini,2023,15456,3,18474,23.9,"Mixed responses—management excited, staff feel uncertain. Internal newsletters now highlight AI use cases."
"Ellis, Thomas and Garza Pvt. Ltd.",Finance,USA,LLaMA,2022,10162,9,10870,7.7,"There's concern that AI will replace some of us soon. Overall, it's a big shift."
"Obrien, Williams and Bell Pvt. Ltd.",Defense,Switzerland,LLaMA,2023,3665,22,24612,30.3,"AI helped me reduce repetitive tasks, but learning curve was steep. HR hosted webinars weekly."
Friedman-Lopez Pvt. Ltd.,Telecom,Germany,ChatGPT,2024,3336,17,22392,14.0,"Productivity increased, but there's anxiety about job security. Some departments feel left behind."
"Williams, Lin and Hawkins Pvt. Ltd.",Retail,India,Mixtral,2024,7424,8,23680,19.3,"Job roles have shifted a lot, which is both good and scary. My team adapted faster than others."
Ford-Contreras Pvt. Ltd.,Retail,South Africa,Mixtral,2024,12124,10,6479,29.3,Our workflows have improved drastically with generative AI. Some departments feel left behind.
Odonnell-Fisher Pvt. Ltd.,Retail,France,LLaMA,2023,7245,14,21741,30.0,Collaboration improved; documentation and meetings are more efficient. HR hosted webinars weekly.
Odonnell-Marshall Pvt. Ltd.,Technology,South Africa,Mixtral,2024,8659,5,12094,12.9,New roles are exciting; transition was smoother than expected. HR hosted webinars weekly.
Adkins-Martinez Pvt. Ltd.,Transportation,USA,ChatGPT,2024,12771,24,16408,4.1,"Our workflows have improved drastically with generative AI. Overall, it's a big shift."
Reynolds-Mitchell Pvt. Ltd.,Defense,Germany,Gemini,2022,17673,5,20916,13.4,I love using AI—it makes my job easier and more fun. Some departments feel left behind.
"Fischer, Wheeler and Carter Pvt. Ltd.",Retail,Brazil,Groq,2022,3857,18,24676,3.2,"We now finish tasks faster, but some older employees are struggling. Internal newsletters now highlight AI use cases."
Bryant-King Pvt. Ltd.,Technology,Australia,ChatGPT,2022,9751,11,22959,27.0,"Productivity increased, but there's anxiety about job security. Overall, it's a big shift."
"Ramirez, Rodgers and Curtis Pvt. Ltd.",Retail,Canada,Mixtral,2022,5524,2,18157,27.8,New roles are exciting; transition was smoother than expected. Clients now expect faster results due to AI use.
"Decker, Ashley and Phillips Pvt. Ltd.",Utilities,South Africa,Claude,2022,16363,20,22025,19.1,There's concern that AI will replace some of us soon. Clients now expect faster results due to AI use.
Villarreal Inc Pvt. Ltd.,Manufacturing,USA,Claude,2023,17907,1,13201,14.5,I love using AI—it makes my job easier and more fun. Managers were initially skeptical.
Mason-Morris Pvt. Ltd.,Education,Australia,Claude,2023,14782,8,18175,18.9,"Job roles have shifted a lot, which is both good and scary. Job rotations have increased."
"Robbins, Salazar and Harmon Pvt. Ltd.",Hospitality,Australia,Groq,2023,12961,18,24824,23.1,"We now finish tasks faster, but some older employees are struggling. My team adapted faster than others."
Perez-Dunn Pvt. Ltd.,Advertising,India,Groq,2024,9680,2,2222,9.5,Collaboration improved; documentation and meetings are more efficient. Monthly town halls discuss the AI rollout.
Savage-Mcneil Pvt. Ltd.,Advertising,UAE,Groq,2024,9354,7,12048,6.1,New roles are exciting; transition was smoother than expected. It changed how we communicate internally.
"Davis, Jones and Gilmore Pvt. Ltd.",Legal Services,Australia,Groq,2024,17596,20,13327,32.4,"We now finish tasks faster, but some older employees are struggling. Monthly town halls discuss the AI rollout."
Matthews-Anderson Pvt. Ltd.,Retail,Australia,Groq,2024,1878,23,24613,33.6,"AI helped me reduce repetitive tasks, but learning curve was steep. It changed how we communicate internally."
"Nelson, Reed and Williams Pvt. Ltd.",Healthcare,Germany,LLaMA,2022,12569,4,10743,26.1,"Collaboration improved; documentation and meetings are more efficient. Overall, it's a big shift."
Becker-Sullivan Pvt. Ltd.,Finance,UK,Groq,2022,8311,28,14383,9.0,There's concern that AI will replace some of us soon. HR hosted webinars weekly.
"Michael, Gray and Ford Pvt. Ltd.",Retail,South Korea,ChatGPT,2023,3687,29,5729,13.0,New roles are exciting; transition was smoother than expected. It changed how we communicate internally.
Mendez-Garcia Pvt. Ltd.,Hospitality,Brazil,ChatGPT,2024,5346,14,6159,13.4,"Job roles have shifted a lot, which is both good and scary. HR hosted webinars weekly."
Clark-Johnston Pvt. Ltd.,Technology,Canada,Claude,2024,19322,24,23274,14.4,"AI helped me reduce repetitive tasks, but learning curve was steep. Managers were initially skeptical."
"Nelson, Chavez and Harris Pvt. Ltd.",Advertising,Japan,Gemini,2022,8832,30,8420,30.0,"Job roles have shifted a lot, which is both good and scary. Monthly town halls discuss the AI rollout."
Williams-Wade Pvt. Ltd.,Transportation,USA,ChatGPT,2023,16275,9,23731,17.2,"We now finish tasks faster, but some older employees are struggling. HR hosted webinars weekly."
"Kelley, Petersen and Allen Pvt. Ltd.",Education,Switzerland,Gemini,2023,9293,18,21737,9.4,"AI helped me reduce repetitive tasks, but learning curve was steep. Job rotations have increased."
"Weiss, Thompson and Mcpherson Pvt. Ltd.",Advertising,Japan,Claude,2022,3436,27,2803,28.7,Our workflows have improved drastically with generative AI. Job rotations have increased.
"Moon, Morse and Orr Pvt. Ltd.",Telecom,Singapore,LLaMA,2022,1730,6,4500,21.3,There's concern that AI will replace some of us soon. It changed how we communicate internally.
"Vaughn, Fischer and Gomez Pvt. Ltd.",Manufacturing,France,Claude,2022,10059,5,1196,32.9,"AI helped me reduce repetitive tasks, but learning curve was steep. Managers were initially skeptical."
"Morgan, Chang and Novak Pvt. Ltd.",Retail,Singapore,Mixtral,2023,18420,27,4079,34.5,"Productivity increased, but there's anxiety about job security. My team adapted faster than others."
Green-Ortiz Pvt. Ltd.,Entertainment,USA,Claude,2023,12755,17,19738,11.8,"Mixed responses—management excited, staff feel uncertain. It changed how we communicate internally."
Pacheco-Williams Pvt. Ltd.,Finance,USA,Claude,2023,14443,13,5401,9.5,"We now finish tasks faster, but some older employees are struggling. It changed how we communicate internally."
Ryan-Mccarthy Pvt. Ltd.,Telecom,Australia,Claude,2022,137,23,17976,17.2,"AI helped me reduce repetitive tasks, but learning curve was steep. Job rotations have increased."
"Robinson, Lowery and Taylor Pvt. Ltd.",Hospitality,Japan,Mixtral,2022,12991,23,4686,6.0,"Productivity increased, but there's anxiety about job security. Overall, it's a big shift."
Gonzalez-Wong Pvt. Ltd.,Advertising,Brazil,Groq,2022,11375,6,20429,20.9,Collaboration improved; documentation and meetings are more efficient. Monthly town halls discuss the AI rollout.
Spencer-Burgess Pvt. Ltd.,Retail,Switzerland,Claude,2024,2564,27,9235,18.1,There's concern that AI will replace some of us soon. Internal newsletters now highlight AI use cases.
"Holt, Tyler and Stanley Pvt. Ltd.",Advertising,South Korea,Claude,2022,17856,17,9998,15.9,"Mixed responses—management excited, staff feel uncertain. Overall, it's a big shift."
"Wright, Bolton and Hill Pvt. Ltd.",Retail,South Korea,ChatGPT,2022,4825,4,13409,26.1,"Job roles have shifted a lot, which is both good and scary. My team adapted faster than others."
Hampton Group Pvt. Ltd.,Defense,Canada,Gemini,2024,8727,14,20094,32.6,"AI helped me reduce repetitive tasks, but learning curve was steep. Monthly town halls discuss the AI rollout."
"Gonzales, Smith and Mcintyre Pvt. Ltd.",Utilities,Canada,ChatGPT,2023,5819,21,15005,16.6,New roles are exciting; transition was smoother than expected. Job rotations have increased.
Adams-Mercado Pvt. Ltd.,Advertising,South Korea,Gemini,2024,11689,28,16331,6.9,I love using AI—it makes my job easier and more fun. My team adapted faster than others.
Duran-Cunningham Pvt. Ltd.,Manufacturing,South Africa,Claude,2023,15865,16,24259,10.7,"Job roles have shifted a lot, which is both good and scary. Monthly town halls discuss the AI rollout."
"Jenkins, Wilson and Lang Pvt. Ltd.",Telecom,Switzerland,Groq,2024,8811,13,6655,23.2,New roles are exciting; transition was smoother than expected. Job rotations have increased.
"Shaw, Ramos and Butler Pvt. Ltd.",Telecom,USA,Groq,2022,14455,4,6098,6.1,"AI helped me reduce repetitive tasks, but learning curve was steep. It changed how we communicate internally."
"Davis, Ellis and Decker Pvt. Ltd.",Entertainment,Germany,Mixtral,2023,13215,18,7114,33.2,"Mixed responses—management excited, staff feel uncertain. Job rotations have increased."
Lucas-Ritter Pvt. Ltd.,Manufacturing,Switzerland,ChatGPT,2022,8348,19,2683,31.6,Our workflows have improved drastically with generative AI. Some departments feel left behind.
Rowe-Brooks Pvt. Ltd.,Technology,Brazil,Claude,2024,8995,15,23284,3.0,There's concern that AI will replace some of us soon. Monthly town halls discuss the AI rollout.
Watson-Trujillo Pvt. Ltd.,Utilities,Singapore,Claude,2022,17152,25,24048,4.7,New roles are exciting; transition was smoother than expected. My team adapted faster than others.
Allen-Meyers Pvt. Ltd.,Transportation,Switzerland,Gemini,2022,14934,23,11626,21.7,I love using AI—it makes my job easier and more fun. HR hosted webinars weekly.
"Fitzgerald, Shea and Moore Pvt. Ltd.",Education,UK,Mixtral,2022,9678,18,1580,21.4,I love using AI—it makes my job easier and more fun. My team adapted faster than others.
"Wallace, Ayala and Stout Pvt. Ltd.",Transportation,Germany,LLaMA,2023,4838,10,8380,7.5,"Mixed responses—management excited, staff feel uncertain. It changed how we communicate internally."
"Cooper, Brown and Weeks Pvt. Ltd.",Retail,Canada,Groq,2023,8198,16,10288,11.0,There's concern that AI will replace some of us soon. Job rotations have increased.
Combs and Sons Pvt. Ltd.,Transportation,South Africa,Claude,2023,5756,9,3384,7.7,"Job roles have shifted a lot, which is both good and scary. Some departments feel left behind."
Rivera-Lucas Pvt. Ltd.,Retail,Brazil,ChatGPT,2022,15335,21,15061,22.7,There's concern that AI will replace some of us soon. It changed how we communicate internally.
Garrett-Anderson Pvt. Ltd.,Technology,Switzerland,Groq,2023,19943,5,10244,31.6,"Job roles have shifted a lot, which is both good and scary. Managers were initially skeptical."
Randall-Myers Pvt. Ltd.,Healthcare,South Africa,Claude,2024,2324,8,6821,33.9,New roles are exciting; transition was smoother than expected. HR hosted webinars weekly.
"Randolph, Smith and Tran Pvt. Ltd.",Retail,France,Claude,2022,1465,16,15119,30.9,"We now finish tasks faster, but some older employees are struggling. Clients now expect faster results due to AI use."
"Powell, Foster and Graves Pvt. Ltd.",Utilities,France,Groq,2023,1807,1,7600,8.6,I love using AI—it makes my job easier and more fun. Monthly town halls discuss the AI rollout.
Duran-Avila Pvt. Ltd.,Telecom,USA,ChatGPT,2024,13977,1,22739,12.7,"Mixed responses—management excited, staff feel uncertain. Monthly town halls discuss the AI rollout."
"Moss, Olson and Castaneda Pvt. Ltd.",Finance,Australia,Gemini,2022,9025,23,12574,4.2,"Productivity increased, but there's anxiety about job security. Overall, it's a big shift."
Murphy-Stewart Pvt. Ltd.,Education,UK,Claude,2022,6756,19,6613,17.7,"Productivity increased, but there's anxiety about job security. Overall, it's a big shift."
Lane-Russell Pvt. Ltd.,Defense,South Africa,Groq,2024,16114,29,3849,24.0,"Mixed responses—management excited, staff feel uncertain. Managers were initially skeptical."
Mendoza-Phillips Pvt. Ltd.,Legal Services,UK,Claude,2023,2468,21,13140,28.7,"Mixed responses—management excited, staff feel uncertain. Clients now expect faster results due to AI use."
Williams-Hughes Pvt. Ltd.,Telecom,Switzerland,Mixtral,2022,13328,24,10904,5.2,I love using AI—it makes my job easier and more fun. Monthly town halls discuss the AI rollout.
"Hill, Rodriguez and Lynch Pvt. Ltd.",Education,UK,ChatGPT,2022,18130,1,8800,25.7,"Mixed responses—management excited, staff feel uncertain. Managers were initially skeptical."
Howard-Yang Pvt. Ltd.,Hospitality,India,Groq,2023,18202,21,16564,7.9,"Job roles have shifted a lot, which is both good and scary. HR hosted webinars weekly."
Fitzgerald-Payne Pvt. Ltd.,Healthcare,South Africa,ChatGPT,2023,9298,30,11409,5.3,Collaboration improved; documentation and meetings are more efficient. Some departments feel left behind.
Jackson-Porter Pvt. Ltd.,Technology,UK,ChatGPT,2024,7825,17,2736,33.0,"Collaboration improved; documentation and meetings are more efficient. Overall, it's a big shift."
"Kelly, Lee and Anderson Pvt. Ltd.",Transportation,USA,Groq,2023,1734,23,18886,7.9,There's concern that AI will replace some of us soon. Clients now expect faster results due to AI use.
"Boyle, Kent and Atkinson Pvt. Ltd.",Transportation,India,LLaMA,2024,18187,6,23614,2.7,New roles are exciting; transition was smoother than expected. My team adapted faster than others.
Jackson-Stout Pvt. Ltd.,Defense,Australia,Gemini,2022,11895,13,8438,7.2,New roles are exciting; transition was smoother than expected. My team adapted faster than others.
"Daniels, Nguyen and Bennett Pvt. Ltd.",Education,Japan,Claude,2022,5225,25,17819,15.9,There's concern that AI will replace some of us soon. Internal newsletters now highlight AI use cases.
"Johnson, Greer and Carroll Pvt. Ltd.",Hospitality,UAE,Groq,2024,2674,6,12401,27.1,New roles are exciting; transition was smoother than expected. It changed how we communicate internally.
"Thompson, Savage and Mccann Pvt. Ltd.",Technology,France,Groq,2023,15606,2,20609,7.1,"Productivity increased, but there's anxiety about job security. Overall, it's a big shift."
Aguilar-Adams Pvt. Ltd.,Technology,USA,Groq,2024,1379,18,17552,10.8,"AI helped me reduce repetitive tasks, but learning curve was steep. Overall, it's a big shift."
Perez-Newman Pvt. Ltd.,Transportation,UK,Groq,2022,8583,19,3065,25.4,"Mixed responses—management excited, staff feel uncertain. It changed how we communicate internally."
Cruz-Simmons Pvt. Ltd.,Finance,France,Groq,2022,19051,7,23524,14.2,"AI helped me reduce repetitive tasks, but learning curve was steep. HR hosted webinars weekly."
Perez-Downs Pvt. Ltd.,Advertising,Australia,ChatGPT,2022,11974,19,11339,29.0,"Mixed responses—management excited, staff feel uncertain. It changed how we communicate internally."
"Barrera, Chapman and Snyder Pvt. Ltd.",Telecom,Australia,Claude,2022,15114,29,18164,28.0,"AI helped me reduce repetitive tasks, but learning curve was steep. Overall, it's a big shift."
"Marsh, Adams and Taylor Pvt. Ltd.",Defense,Japan,LLaMA,2024,18414,18,11876,20.4,Our workflows have improved drastically with generative AI. Internal newsletters now highlight AI use cases.
"Hill, Mendoza and Davis Pvt. Ltd.",Retail,Canada,Mixtral,2024,19099,7,6298,5.6,"AI helped me reduce repetitive tasks, but learning curve was steep. My team adapted faster than others."
Hicks-Valentine Pvt. Ltd.,Healthcare,Brazil,Gemini,2024,9225,15,17528,6.1,There's concern that AI will replace some of us soon. Clients now expect faster results due to AI use.
Hodges-Jones Pvt. Ltd.,Defense,South Korea,LLaMA,2023,9119,16,11764,32.7,Collaboration improved; documentation and meetings are more efficient. My team adapted faster than others.
Harris-Sanchez Pvt. Ltd.,Finance,UK,ChatGPT,2023,760,1,3406,24.0,Collaboration improved; documentation and meetings are more efficient. Job rotations have increased.
Rodriguez-Ray Pvt. Ltd.,Advertising,Singapore,Mixtral,2023,17129,5,13695,3.4,"AI helped me reduce repetitive tasks, but learning curve was steep. It changed how we communicate internally."
Morris-Bradley Pvt. Ltd.,Defense,Singapore,ChatGPT,2022,6298,12,18001,11.6,"Mixed responses—management excited, staff feel uncertain. Some departments feel left behind."
"Brooks, Smith and Soto Pvt. Ltd.",Manufacturing,Canada,Mixtral,2022,18453,8,19912,4.7,Collaboration improved; documentation and meetings are more efficient. Clients now expect faster results due to AI use.
"Adams, Martin and Wall Pvt. Ltd.",Advertising,France,Mixtral,2022,9255,1,4961,5.6,"We now finish tasks faster, but some older employees are struggling. It changed how we communicate internally."
"Brooks, Bennett and Bell Pvt. Ltd.",Healthcare,India,Mixtral,2024,4543,3,5507,20.0,"Mixed responses—management excited, staff feel uncertain. Managers were initially skeptical."
Price-Woodard Pvt. Ltd.,Healthcare,UAE,ChatGPT,2023,4154,14,2744,9.2,"There's concern that AI will replace some of us soon. Overall, it's a big shift."
"Cohen, Smith and Anderson Pvt. Ltd.",Entertainment,Japan,LLaMA,2022,15857,6,9780,34.5,"Productivity increased, but there's anxiety about job security. Internal newsletters now highlight AI use cases."
"Hoover, Murphy and Wilcox Pvt. Ltd.",Advertising,France,ChatGPT,2024,15987,17,17058,5.2,"Collaboration improved; documentation and meetings are more efficient. Overall, it's a big shift."
"Alvarado, Jones and Tucker Pvt. Ltd.",Finance,France,LLaMA,2023,11703,26,8921,14.3,Collaboration improved; documentation and meetings are more efficient. Managers were initially skeptical.
Bailey-Malone Pvt. Ltd.,Entertainment,Germany,Groq,2022,5810,27,23469,6.4,New roles are exciting; transition was smoother than expected. Internal newsletters now highlight AI use cases.
"Day, Douglas and Greer Pvt. Ltd.",Technology,Singapore,Claude,2024,3414,10,20041,30.5,"There's concern that AI will replace some of us soon. Overall, it's a big shift."
Pena-Reid Pvt. Ltd.,Technology,UAE,Mixtral,2023,11353,23,3673,7.0,"We now finish tasks faster, but some older employees are struggling. My team adapted faster than others."
"Parker, Lewis and Mayo Pvt. Ltd.",Finance,Singapore,Gemini,2022,9471,6,23779,4.6,"There's concern that AI will replace some of us soon. Overall, it's a big shift."
"Bass, Bates and Martin Pvt. Ltd.",Healthcare,Canada,Groq,2024,1587,24,4029,4.0,"Productivity increased, but there's anxiety about job security. It changed how we communicate internally."
"Hess, Garcia and Sanders Pvt. Ltd.",Technology,South Africa,ChatGPT,2024,11437,1,23285,21.1,"Productivity increased, but there's anxiety about job security. My team adapted faster than others."
Mcintosh PLC Pvt. Ltd.,Entertainment,Germany,ChatGPT,2024,17363,2,15436,26.0,"We now finish tasks faster, but some older employees are struggling. Internal newsletters now highlight AI use cases."
"Johnson, Cox and Ferrell Pvt. Ltd.",Telecom,Brazil,Groq,2023,7537,30,12301,34.2,"We now finish tasks faster, but some older employees are struggling. Overall, it's a big shift."
Underwood-Williams Pvt. Ltd.,Legal Services,USA,LLaMA,2023,2428,16,19529,16.3,I love using AI—it makes my job easier and more fun. Managers were initially skeptical.
Anderson-Gilmore Pvt. Ltd.,Defense,Canada,Groq,2024,5834,27,4040,14.5,There's concern that AI will replace some of us soon. Monthly town halls discuss the AI rollout.
"Rojas, Smith and Boyd Pvt. Ltd.",Transportation,Switzerland,Gemini,2022,10341,18,22291,33.2,"Mixed responses—management excited, staff feel uncertain. HR hosted webinars weekly."
Roberts-Garcia Pvt. Ltd.,Defense,Japan,Groq,2023,13250,11,11674,27.7,"Mixed responses—management excited, staff feel uncertain. Some departments feel left behind."
"Smith, Tapia and Mcclure Pvt. Ltd.",Hospitality,France,Groq,2022,10014,1,12412,9.8,"Mixed responses—management excited, staff feel uncertain. Internal newsletters now highlight AI use cases."
Baker-Howard Pvt. Ltd.,Utilities,Singapore,Gemini,2023,6406,18,15493,22.9,"Mixed responses—management excited, staff feel uncertain. My team adapted faster than others."
"Farrell, Johnson and Singh Pvt. Ltd.",Education,UAE,Claude,2023,14168,18,24417,4.6,"Mixed responses—management excited, staff feel uncertain. HR hosted webinars weekly."
Jackson-Carter Pvt. Ltd.,Legal Services,South Korea,Gemini,2023,7742,5,19794,34.1,"AI helped me reduce repetitive tasks, but learning curve was steep. Overall, it's a big shift."
Nguyen-Hartman Pvt. Ltd.,Telecom,UK,ChatGPT,2023,5084,6,18417,27.0,"AI helped me reduce repetitive tasks, but learning curve was steep. My team adapted faster than others."
Elliott-Taylor Pvt. Ltd.,Transportation,Canada,LLaMA,2023,19901,22,7396,32.9,"AI helped me reduce repetitive tasks, but learning curve was steep. Some departments feel left behind."
Pacheco-Andrade Pvt. Ltd.,Transportation,Japan,Gemini,2024,17065,2,24976,18.2,"I love using AI—it makes my job easier and more fun. Overall, it's a big shift."
"Garcia, Chandler and Keller Pvt. Ltd.",Advertising,South Africa,Groq,2022,7055,27,18600,22.9,There's concern that AI will replace some of us soon. Some departments feel left behind.
"Martin, Meyer and Marshall Pvt. Ltd.",Retail,USA,Claude,2022,6217,24,2658,3.7,Our workflows have improved drastically with generative AI. It changed how we communicate internally.
"Wolf, Hobbs and Bass Pvt. Ltd.",Defense,USA,ChatGPT,2022,15248,27,6056,25.9,I love using AI—it makes my job easier and more fun. Some departments feel left behind.
"Porter, Harper and Adams Pvt. Ltd.",Telecom,France,Gemini,2022,18430,23,16678,2.9,"We now finish tasks faster, but some older employees are struggling. HR hosted webinars weekly."
Lee-Davis Pvt. Ltd.,Legal Services,Brazil,ChatGPT,2023,5696,21,20600,16.3,"Job roles have shifted a lot, which is both good and scary. Job rotations have increased."
Powell-Payne Pvt. Ltd.,Transportation,Switzerland,Gemini,2023,17482,6,6598,9.9,"AI helped me reduce repetitive tasks, but learning curve was steep. My team adapted faster than others."
"Wise, Burke and Kim Pvt. Ltd.",Defense,Canada,Gemini,2022,4961,7,15997,24.0,"AI helped me reduce repetitive tasks, but learning curve was steep. Internal newsletters now highlight AI use cases."
Hampton-Nguyen Pvt. Ltd.,Utilities,South Korea,Gemini,2023,2794,28,13060,12.0,"AI helped me reduce repetitive tasks, but learning curve was steep. Overall, it's a big shift."
Taylor-Boyle Pvt. Ltd.,Entertainment,South Africa,LLaMA,2022,423,21,9224,3.3,"Productivity increased, but there's anxiety about job security. It changed how we communicate internally."
"Roach, Chen and Rosales Pvt. Ltd.",Retail,UAE,ChatGPT,2023,5517,27,21533,9.6,I love using AI—it makes my job easier and more fun. Monthly town halls discuss the AI rollout.
Riley-Douglas Pvt. Ltd.,Telecom,UAE,Claude,2023,936,5,16527,32.2,"AI helped me reduce repetitive tasks, but learning curve was steep. My team adapted faster than others."
Lloyd-Torres Pvt. Ltd.,Hospitality,Japan,Mixtral,2024,4626,20,12612,10.8,There's concern that AI will replace some of us soon. HR hosted webinars weekly.
Torres-Williams Pvt. Ltd.,Transportation,South Korea,ChatGPT,2022,995,2,5043,15.1,New roles are exciting; transition was smoother than expected. Monthly town halls discuss the AI rollout.
"Quinn, Miller and Hernandez Pvt. Ltd.",Education,Brazil,Gemini,2022,4726,20,1196,22.2,"We now finish tasks faster, but some older employees are struggling. It changed how we communicate internally."
"Sherman, Andrews and Wallace Pvt. Ltd.",Manufacturing,UAE,LLaMA,2024,1566,22,18534,14.3,"Productivity increased, but there's anxiety about job security. Internal newsletters now highlight AI use cases."
Young-Good Pvt. Ltd.,Telecom,Canada,Claude,2023,1976,15,13055,13.3,There's concern that AI will replace some of us soon. Monthly town halls discuss the AI rollout.
